﻿Nom du festival;Région principale de déroulement;Département principal de déroulement;Commune principale de déroulement;Code postal;Site internet du festival;Adresse e-mail;Décennie de création du festival;Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Géocodage xy
Paris International Animation Film Festival - PIAFF;Île-de-France;Paris;Paris;75056;;;2010 et après;2019;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Oreades Trance Festival;Île-de-France;Paris;Paris;75056;https://www.facebook.com/OreadesProd/?eid=ARDEqZppp4XF5mWiGoaYVkq6DRCC3FQDTp980moXYHuL7OWzr9xfyf-FeHnYWEXjBklWHWZZkUe-60bj;;2010 et après;2019;Musique;Avant-saison (1er janvier - 20 juin);48.886868623, 2.38469432787
OFF PARIS;Île-de-France;Paris;Paris;75056;http://www.pointephemere.org/event/OFFF-dhiver-ByinrIe6m;;2010 et après;2019;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Essonne en Scène;Île-de-France;Essonne;Chamarande;91132;http://www.essonne.fr/culture-loisirs-tourisme/essonne-en-scene-par-les-francofolies/;;2010 et après;2019;Musique;Saison (21 juin - 5 septembre);48.5167739657, 2.21800082924
Sulfure Festival;Île-de-France;Paris;Paris;75056;http://sulfure-festival;;2010 et après;2019;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Beaugrenelle Music Festival;Île-de-France;Paris;Paris;75056;www.beaugrenelle-paris.com/;;2010 et après;2019;Musique;Avant-saison (1er janvier - 20 juin);48.8401554186, 2.29355937244
Tehran Underground Music Festival in Paris;Île-de-France;Paris;Paris;75056;www.cafekhayyam.com;;2010 et après;2018;Musique;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
L’Autre Salon;Île-de-France;Paris;Paris;75056;https://www.lautrelivre.fr/;;2010 et après;2018;Livre, littérature;Avant-saison (1er janvier - 20 juin);48.8630541318, 2.35936105897
Entente Nocturne;Île-de-France;Val-de-Marne;Vitry-sur-Seine;94081;http://lekilowatt.fr/agenda/entente-nocturne/;;2010 et après;2018;Musique;Après-saison (6 septembre - 31 décembre);48.7882828307, 2.39412680533
Saint Mandé Classic Jazz Festival;Île-de-France;Val-de-Marne;Saint-Mandé;94067;www.saint-mande-festival.com;;2010 et après;2018;Musique;Avant-saison (1er janvier - 20 juin);48.842440243, 2.4192191088
Decibels Vendanges;Île-de-France;Paris;Paris;75056;www.fetedesvendangesdemontmartre.com/evenement/decibels-vendanges;;2010 et après;2018;Musique;Après-saison (6 septembre - 31 décembre);48.8927350746, 2.34871193387
INASOUND;Île-de-France;Paris;Paris;75056;http://www.inasound.fr/fr/;;2010 et après;2018;Musique;Saison (21 juin - 5 septembre);48.8679033789, 2.34410716666
Touch Me - Biennale d’art contemporain de Strasbourg;Grand Est;Bas-Rhin;Strasbourg;67482;http://biennale-strasbourg.eu/;info@biennale-strasbourg.eu;2010 et après;2018;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);48.5712679849, 7.76752679517
Spirit In Black;Grand Est;Bas-Rhin;Colmar;68066;http://www.associationhopla.com;;2010 et après;2017;Musique;Après-saison (6 septembre - 31 décembre);48.1099405789, 7.38468690323
Festival BOB - Blues On the Border;Grand Est;Moselle;Terville;57666;;contact@le-112.com;2010 et après;2017;Musique;Avant-saison (1er janvier - 20 juin);49.3465483422, 6.13220160083
La Journée de la Guitare à Mutzig;Grand Est;Bas-Rhin;Mutzig;67313;www.jdlg.eu;contact@jdlg.eu;2010 et après;2017;Musique;Avant-saison (1er janvier - 20 juin);48.538054845, 7.45530315563
Le Beau Festival;Île-de-France;Paris;Paris;75056;www.lebeaufestival.com;;2010 et après;2017;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Limeil Blues Festival;Île-de-France;Val-de-Marne;Limeil-Brévannes;94044;www.limeil-brevannes.fr/2eme-Limeil-Festival-Blues#.W3Uv-84zYdU;;2010 et après;2017;Musique;Après-saison (6 septembre - 31 décembre);48.7450357782, 2.48936184357
Autour du polar - Salon du livre;Île-de-France;Seine-et-Marne;Nemours;77333;https://www.facebook.com/salondulivreNemours/;;2010 et après;2017;Livre, littérature;Avant-saison (1er janvier - 20 juin);48.2596067909, 2.71107993087
Lollapalooza;Île-de-France;Paris;Paris;75056;www.lollaparis.com;;2010 et après;2017;Musique;Saison (21 juin - 5 septembre);48.8567, 2.3508
Saulxures Festi'Lac;Grand Est;Vosges;Saulxures-sur-Moselotte;88447;http://festilac.saulxures-sur-moselotte.fr/;;2010 et après;2017;Musique;Saison (21 juin - 5 septembre);47.9512129215, 6.77493861259
Musica(e)l;Île-de-France;Hauts-de-Seine;Bourg-la-Reine;92014;http://caelmjc.com;;2010 et après;2017;Musique;Avant-saison (1er janvier - 20 juin);48.7799073627, 2.31643010763
Rouxteur Festival;Île-de-France;Seine-Saint-Denis;Saint-Ouen;93070;https://www.mainsdoeuvres.org;;2010 et après;2017;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);48.909806575, 2.33257042205
Théâtre en livres;Île-de-France;Paris;Montreuil;93048;https://www.editionstheatrales.fr/;;2010 et après;2017;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8633175054, 2.44816211857
Festival Guitare de Puteaux;Île-de-France;Hauts-de-Seine;Puteaux;92062;http://www.puteaux.fr/Agenda/Festival-Guitare-2018;;2010 et après;2017;Musique;Après-saison (6 septembre - 31 décembre);48.8837094969, 2.23834178314
Pitchfork Avant-Garde;Île-de-France;Paris;Paris;75056;https://pitchforkmusicfestival.fr/pitchfork-avant-garde/;;2010 et après;2016;Musique;Après-saison (6 septembre - 31 décembre);48.886868623, 2.38469432787
Festival du Film Subversif de Metz;Grand Est;Moselle;Metz;57463;www.festival-subversif.com;charlotte@festival-subversif.com;2010 et après;2016;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);49.1081133279, 6.1955245421
FUP - Festival d'Humour de Paris;Île-de-France;Paris;Paris;75056;https://festivaldhumourdeparis.com/;;2010 et après;2016;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8725272666, 2.31258256042
PØLAR - Festival Nordique;Île-de-France;Paris;Paris;75056;http://www.polarfestival.com;;2010 et après;2016;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Togaether;Île-de-France;Paris;Paris;75056;https://www.togaether.fr/;;2010 et après;2016;Pluridisciplinaire;Saison (21 juin - 5 septembre);48.8594154976, 2.37874106024
Paris Music Festival;Île-de-France;Paris;Paris;75056;www.paris-music.com;;2010 et après;2016;Musique;Avant-saison (1er janvier - 20 juin);48.8626304852, 2.33629344655
MOCA;Île-de-France;Paris;Montreuil;93048;http://le-moca.com/;;2010 et après;2016;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8633175054, 2.44816211857
Piano au Musée Würth;Grand Est;Bas-Rhin;Erstein;67130;www.musee-wurth.fr/activites-evenements/piano-au-musee-wurth;;2010 et après;2016;Musique;Après-saison (6 septembre - 31 décembre);48.4213687934, 7.68523629922
Download Festival;Île-de-France;Essonne;Bretigny-sur-Orge;91103;www.downloadfestival.fr;;2010 et après;2016;Musique;;48.6025113399, 2.3021623232
Play mobile;Île-de-France;Hauts-de-Seine;Chatillon;92020;http://www.theatreachatillon.com/play-mobile.php;;2010 et après;2016;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.8034091756, 2.28799131883
Indétour;Grand Est;Haut-Rhin;Kingersheim;68166;https://fr-fr.facebook.com/indetour/;indetourfestival@gmail.com;2010 et après;2016;Musique;Avant-saison (1er janvier - 20 juin);47.7889765168, 7.32299335222
La Grande Échelle;Île-de-France;Paris;Paris;75056;http://www.lemonfort.fr/programmation/festival-la-grande-echelle;;2010 et après;2016;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);48.8401554186, 2.29355937244
Le Grand Festival;Île-de-France;Paris;Paris;75056;http://www.histoire-immigration.fr/;;2010 et après;2016;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8351562307, 2.41980703497
Urban Trance Festival;Île-de-France;Paris;Paris;75056;;;2010 et après;2016;Musique;Avant-saison (1er janvier - 20 juin);48.886868623, 2.38469432787
Camping;Île-de-France;Seine-Saint-Denis;Pantin;93055;https://www.cnd.fr/fr/page/33-camping;;2010 et après;2015;Spectacle vivant;Saison (21 juin - 5 septembre);48.8983093876, 2.40872147475
La Terre est à nous;Île-de-France;Hauts-de-Seine;Nanterre;92050;http://www.nanterre.fr/;;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.8960701282, 2.20671346353
Afrique Unie;Île-de-France;Paris;Paris;75056;https://www.salonafriqueunie.com/;;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.8594154976, 2.37874106024
Afropunk Festival;Île-de-France;Hauts-de-Seine;Boulogne-Billancourt;92012;https://afropunk.com/festival/paris/line-up/;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.8365843138, 2.23913599058
Au Pré de mon Âne;Grand Est;Meuse;Èvres;55185;http://anesartgonne.free.fr/;anesartgonne@free.fr;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.9823527638, 5.1255521249
F.A.M.E - Festival international de films sur la musique;Île-de-France;Paris;Paris;75056;https://gaite-lyrique.net;;2010 et après;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Boogie Spirit Festival;Grand Est;Bas-Rhin;Illkirch-Graffenstaden;67218;www.bsf4.com/fr;contact@boogie-spirit.com;2010 et après;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.5200498962, 7.73129588098
Freestyle;Île-de-France;Paris;Paris;75056;lavillette.com/evenement/freestyle-18;;2010 et après;2015;Spectacle vivant;Après-saison (6 septembre - 31 décembre);48.886868623, 2.38469432787
Ponderosa;Grand Est;Bas-Rhin;Lauterbourg;67261;www.ponderosa.family/?lang=fr;info@ponderosa.family;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);48.9637116345, 8.18637725776
Automne Musical du Vésinet;Île-de-France;Yvelines;Le Vésinet;78650;www.automnemusicalduvesinet.fr;;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);48.8938640591, 2.13039312004
Comic Con Paris;Île-de-France;Paris;Paris;75056;www.comic-con-paris.com;;2010 et après;2015;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Traversées du Marais;Île-de-France;Paris;Paris;75056;https://maraiscultureplus.wordpress.com;;2010 et après;2015;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Play it again;Île-de-France;Paris;Paris;75056;www.festival-playitagain.com;;2010 et après;2015;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
